Timestamp Knob_PARAM1 Knob_PARAM2 Knob_PARAM3 Known_Metric_THROUGHPUT Known_Metric_ERROR goal_my_throughput_goal goal_my_error_goal my_throughput_monitor_average my_error_monitor_average
14689356409 150 100 360 6 6 0.3 1.66 0.204997 1.99803
14694280803 150 100 360 6 6 0.3 1.66 0.203082 1.99803
14694537526 800 1 10 6 6 0.3 1.66 3.90462 2.04609
14694795912 800 1 10 6 6 0.3 1.66 3.87403 2.04609
14695066258 800 1 10 6 6 0.3 1.66 3.70198 2.04609
14695328578 800 1 10 6 6 0.3 1.66 3.81505 2.04609
14695585927 800 1 10 6 6 0.3 1.66 3.88884 2.04609
14695855323 800 1 10 6 6 0.3 1.66 3.71558 2.04609
14696113598 800 1 10 6 6 0.3 1.66 3.8749 2.04609
14696369939 800 1 10 6 6 0.3 1.66 3.90501 2.04609
14696634334 800 1 10 6 6 0.3 1.66 3.786 2.04609
14704473738 1 200 10 6 6 0.3 1.66 0.127565 3.9321
14706066752 1 1 850 6 6 0.3 1.66 0.628094 4.90517
14707723084 800 1 850 6 6 0.3 1.66 0.603828 1.63097
14709419387 800 1 850 6 6 0.3 1.66 0.589587 1.63097
14719305947 1 200 850 6 6 0.3 1.66 0.101152 2.64054
14724577368 1 100 430 6 6 0.3 1.66 0.189715 2.9695
14725793139 300 1 430 6 6 0.3 1.66 0.824346 2.32778
14727094445 300 1 430 6 6 0.3 1.66 0.768588 2.32778
14735930911 300 200 430 6 6 0.3 1.66 0.113171 1.65443
14736149309 1 1 10 6 6 0.3 1.66 4.58459 12.583
14736356665 1 1 10 6 6 0.3 1.66 4.82807 12.583
14736567035 1 1 10 6 6 0.3 1.66 4.75794 12.583
14736775346 1 1 10 6 6 0.3 1.66 4.80457 12.583
14736981682 1 1 10 6 6 0.3 1.66 4.85095 12.583
14737189986 1 1 10 6 6 0.3 1.66 4.80541 12.583
14737397348 1 1 10 6 6 0.3 1.66 4.82859 12.583
14737610649 1 1 10 6 6 0.3 1.66 4.69259 12.583
14737821037 1 1 10 6 6 0.3 1.66 4.75862 12.583
14738028425 1 1 10 6 6 0.3 1.66 4.82735 12.583
14738253728 1 1 10 6 6 0.3 1.66 4.44233 12.583
14738470026 1 1 10 6 6 0.3 1.66 4.62712 12.583
14746315475 800 200 10 6 6 0.3 1.66 0.127467 1.50698
14751977888 300 100 430 6 6 0.3 1.66 0.176612 1.7195
14756112296 300 100 10 6 6 0.3 1.66 0.241888 2.09973
14761542646 300 100 850 6 6 0.3 1.66 0.184157 1.66488
14766617445 800 100 430 6 6 0.3 1.66 0.197078 1.34045
14771593764 800 100 430 6 6 0.3 1.66 0.200961 1.34045
14780824220 800 200 850 6 6 0.3 1.66 0.108341 1.26908
14790250573 800 200 850 6 6 0.3 1.66 0.106088 1.26908
14791893021 800 1 850 0.603828 1.63097 0.3 1.66 0.608976 1.63097
14793557430 800 1 850 0.603828 1.63097 0.3 1.66 0.600937 1.63097
14795205777 800 1 850 0.603828 1.63097 0.3 1.66 0.60676 1.63097
14796873097 800 1 850 0.603828 1.63097 0.3 1.66 0.599843 1.63097
14798543397 800 1 850 0.603828 1.63097 0.3 1.66 0.598773 1.63097
14800198728 800 1 850 0.603828 1.63097 0.3 1.66 0.604178 1.63097
14801885973 800 1 850 0.603828 1.63097 0.3 1.66 0.592746 1.63097
14803543243 800 1 850 0.603828 1.63097 0.3 1.66 0.603475 1.63097
14805239532 800 1 850 0.603828 1.63097 0.3 1.66 0.589598 1.63097
14806944808 800 1 850 0.603828 1.63097 0.3 1.66 0.586486 1.63097
14808682106 800 1 850 0.603828 1.63097 0.3 1.66 0.575681 1.63097
14810335394 800 1 850 0.603828 1.63097 0.3 1.66 0.604934 1.63097
14812040708 800 1 850 0.603828 1.63097 0.3 1.66 0.586474 1.63097
14813771011 800 1 850 0.603828 1.63097 0.3 1.66 0.578004 1.63097
14815462286 800 1 850 0.603828 1.63097 0.3 1.66 0.591343 1.63097
14817093558 800 1 850 0.603828 1.63097 0.3 1.66 0.613093 1.63097
14818761881 800 1 850 0.603828 1.63097 0.3 1.66 0.599495 1.63097
14820524167 800 1 850 0.603828 1.63097 0.3 1.66 0.567515 1.63097
14822159475 800 1 850 0.603828 1.63097 0.3 1.66 0.611589 1.63097
14823815946 800 1 850 0.603828 1.63097 0.3 1.66 0.603829 1.63097
14825507212 800 1 850 0.603828 1.63097 0.3 1.66 0.591343 1.63097
14827155525 800 1 850 0.603828 1.63097 0.3 1.66 0.606763 1.63097
14828923830 800 1 850 0.603828 1.63097 0.3 1.66 0.565574 1.63097
14830565122 800 1 850 0.603828 1.63097 0.3 1.66 0.609353 1.63097
14832197407 800 1 850 0.603828 1.63097 0.3 1.66 0.612714 1.63097
14833878637 800 1 850 0.603828 1.63097 0.3 1.66 0.594859 1.63097
14835570919 800 1 850 0.603828 1.63097 0.3 1.66 0.590989 1.63097
14837220198 800 1 850 0.603828 1.63097 0.3 1.66 0.606403 1.63097
14839026481 800 1 850 0.603828 1.63097 0.3 1.66 0.553684 1.63097
14840876758 800 1 850 0.603828 1.63097 0.3 1.66 0.540519 1.63097
14842620085 800 1 850 0.603828 1.63097 0.3 1.66 0.57369 1.63097
14844283444 800 1 850 0.603828 1.63097 0.3 1.66 0.601286 1.63097
14845958715 800 1 850 0.603828 1.63097 0.3 1.66 0.596984 1.63097
14847652111 800 1 850 0.603828 1.63097 0.3 1.66 0.590625 1.63097
14849397517 800 1 850 0.603828 1.63097 0.3 1.66 0.573044 1.63097
14851029795 800 1 850 0.603828 1.63097 0.3 1.66 0.612708 1.63097
14852693068 800 1 850 0.603828 1.63097 0.3 1.66 0.601292 1.63097
14854338491 800 1 850 0.603828 1.63097 0.3 1.66 0.607876 1.63097
14856008747 800 1 850 0.603828 1.63097 0.3 1.66 0.598776 1.63097
14857640059 800 1 850 0.603828 1.63097 0.3 1.66 0.613081 1.63097
14859289348 800 1 850 0.603828 1.63097 0.3 1.66 0.606389 1.63097
14860962649 800 1 850 0.603828 1.63097 0.3 1.66 0.597695 1.63097
14862663881 800 1 850 0.603828 1.63097 0.3 1.66 0.587865 1.63097
14864393194 800 1 850 0.603828 1.63097 0.3 1.66 0.578333 1.63097
14866052533 800 1 850 0.603828 1.63097 0.3 1.66 0.60274 1.63097
14867704777 800 1 850 0.603828 1.63097 0.3 1.66 0.6053 1.63097
14869339139 800 1 850 0.603828 1.63097 0.3 1.66 0.61196 1.63097
14870996465 800 1 850 0.603828 1.63097 0.3 1.66 0.603464 1.63097
